Title,Author,Date Started,Date Ended,Time Taken,Pages,Cum. Pages,Format,Source,Type,Genre,Publication Year,,,,,,,,,,,,,,
The Martian,Andy Weir,1/2/2015,1/3/2015,1,369,369,Hardcover,Amazon,Fiction,Science Fiction,2014,,,,,,,,,,,,,,
The First Fifteen Lives of Harry August,Claire North,1/3/2015,1/4/2015,1,432,801,Hardcover,Amazon,Fiction,Science Fiction,2014,,,,,,,,,,,,,,
BONE: Full Color One Volume  Edition,Jeff Smith,1/5/2015,1/8/2015,3,1376,2177,Hardcover,Bonevile,Comic,Fantasy,2011,,,,,,,,,,,,,,/
"Food Wars!, Vol. 1: Shokugeki no Soma",Yuto Tsukudo,1/8/2015,1/8/2015,0,208,2385,Softcover,Barnes and Nobles,Manga,Comedy,2014,,,,,,,,,,,,,,
"Food Wars!, Vol. 2: Shokugeki no Soma",Yuto Tsukudo,1/8/2015,1/8/2015,0,200,2585,Softcover,Barnes and Nobles,Manga,Comedy,2014,,,,,,,,,,,,,,
"Food Wars!, Vol. 3: Shokugeki no Soma",Yuto Tsukudo,1/8/2015,1/9/2015,1,200,2785,Softcover,Barnes and Nobles,Manga,Comedy,2014,,,,,,,,,,,,,,
Avatar: The Promise,"Gene Luen Yang, Michael Dante DiMartino, Bryan Konietzko",1/10/2015,1/10/2015,0,240,3025,Hardcover,Midtown Comics,Comic,Fantasy,2013,,,,,,,,,,,,,,
"Barakamon, Vol. 1 ",Satsuki Yoshino,1/10/2015,1/10/2015,0,208,3233,Softcover,Midtown Comics,Manga,Comedy,2014,,,,,,,,,,,,,,
Metal Gear Solid: Deluxe Edition,Ashley Wood,1/11/2015,1/11/2015,0,556,3789,Hardcover,Midtown Comics,Comic,Action,2014,,,,,,,,,,,,,,
Scott Pilgrim Color Vol. 1: Precious Little Life,Bryan Lee O'Malley,1/13/2015,1/13/2015,0,192,3981,Hardcover,Midtown Comics,Comic,Romance,2012,,,,,,,,,,,,,,
Scott Pilgrim Color Vol. 2: Vs. The World,Bryan Lee O'Malley,1/15/2015,1/17/2015,2,208,4189,Hardcover,Midtown Comics,Comic,Romance,2012,,,,,,,,,,,,,,
Scott Pilgrim Color Vol. 3: Scott Pilgrim and the Infinite Sadness,Bryan Lee O'Malley,1/21/2015,1/21/2015,0,160,4349,Hardcover,Midtown Comics,Comic,Romance,2013,,,,,,,,,,,,,,
Scott Pilgrim Color Vol. 4: Scott Pilgrim Gets it Together,Bryan Lee O'Malley,2/1/2015,2/2/2015,1,208,4557,Hardcover,Midtown Comics,Comic,Romance,2013,,,,,,,,,,,,,,
Scott Pilgrim Color Vol. 5: Scott Pilgrim Vs. The Universe,Bryan Lee O'Malley,2/2/2015,2/2/2015,0,280,4837,Hardcover,Midtown Comics,Comic,Romance,2014,,,,,,,,,,,,,,
"Barakamon, Vol. 2",Satsuki Yoshino,2/3/2015,2/3/2015,0,192,5029,Softcover,Midtown Comics,Manga,Comedy,2014,,,,,,,,,,,,,,
Wool,Hugh Howey,2/6/2015,2/16/2015,10,528,5557,Hardcover,Amazon,Fiction,Science Fiction,2013,,,,,,,,,,,,,,
"Knights of Sidonia, Vol. 1",Tsutomu Nihei,2/6/2015,2/6/2015,0,186,5743,Softcover,Midtown Comics,Manga,Science Fiction,2013,,,,,,,,,,,,,,
"My Neighbor Seki, 1",Takuma Morishige,2/6/2015,2/6/2015,0,176,5919,Softcover,Midtown Comics,Manga,Comedy,2015,,,,,,,,,,,,,,
Dragon Ball Vizbig 1,Akira Toriyama,2/14/2015,2/14/2015,0,560,6479,Softcover,Barnes and Nobles,Manga,Fantasy,2008,,,,,,,,,,,,,,
Dragon Ball Vizbig 2,Akira Toriyama,2/15/2015,2/15/2015,0,531,7010,Softcover,Barnes and Nobles,Manga,Fantasy,2008,,,,,,,,,,,,,,
Dragon Ball Vizbig 3,Akira Toriyama,2/16/2015,2/16/2015,0,568,7578,Softcover,Barnes and Nobles,Manga,Fantasy,2008,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 1,Akira Toriyama,2/21/2015,2/21/2015,0,568,8146,Softcover,Barnes and Nobles,Manga,Fantasy,2008,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 2,Akira Toriyama,2/21/2015,2/21/2015,0,568,8714,Softcover,Barnes and Nobles,Manga,Fantasy,2008,,,,,,,,,,,,,,
Dragon Ball Vizbig 4,Akira Toriyama,2/21/2015,2/21/2015,0,568,9282,Softcover,Barnes and Nobles,Manga,Fantasy,2009,,,,,,,,,,,,,,
Dragon Ball Vizbig 5,Akira Toriyama,2/21/2015,2/21/2015,0,768,10050,Softcover,Barnes and Nobles,Manga,Fantasy,2009,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 3,Akira Toriyama,2/22/2015,2/22/2015,0,568,10618,Softcover,Barnes and Nobles,Manga,Fantasy,2008,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 4,Akira Toriyama,2/22/2015,2/22/2015,0,568,11186,Softcover,Barnes and Nobles,Manga,Fantasy,2009,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 5,Akira Toriyama,2/22/2015,2/22/2015,0,560,11746,Softcover,Barnes and Nobles,Manga,Fantasy,2009,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 6,Akira Toriyama,2/22/2015,2/22/2015,0,560,12306,Softcover,Barnes and Nobles,Manga,Fantasy,2010,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 7,Akira Toriyama,2/22/2015,2/22/2015,0,560,12866,Softcover,Barnes and Nobles,Manga,Fantasy,2010,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 8,Akira Toriyama,2/22/2015,2/22/2015,0,560,13426,Softcover,Barnes and Nobles,Manga,Fantasy,2010,,,,,,,,,,,,,,
Dragon Ball Z Vizbig 9,Akira Toriyama,2/22/2015,2/22/2015,0,476,13902,Softcover,Barnes and Nobles,Manga,Fantasy,2010,,,,,,,,,,,,,,
Lucifer and the Biscuit Hammer Vol 3-4,Satoshi Mizukami,2/24/2015,2/24/2015,0,432,14334,Softcover,Amazon,Manga,Fantasy,2015,,,,,,,,,,,,,,
Witch Craft Works Vol. 1,Ryu Mizunagi,2/25/2015,2/25/2015,0,190,14524,Softcover,Amazon,Manga,Fantasy,2014,,,,,,,,,,,,,,
Shift,Hugh Howey,2/27/2015,3/2/2015,3,520,15044,Hardcover,Amazon,Fiction,Science Fiction,2014,,,,,,,,,,,,,,
"Psyren, Vol. 1 ",Toshiaki Iwashiro,3/4/2015,3/4/2015,0,216,15260,Softcover,Amazon,Manga,Science Fiction,2011,,,,,,,,,,,,,,
"Psyren, Vol. 2",Toshiaki Iwashiro,3/4/2015,3/4/2015,0,192,15452,Softcover,Barnes and Nobles,Manga,Science Fiction,2012,,,,,,,,,,,,,,
"Psyren, Vol. 3",Toshiaki Iwashiro,3/4/2015,3/4/2015,0,200,15652,Softcover,Barnes and Nobles,Manga,Science Fiction,2012,,,,,,,,,,,,,,
"Psyren, Vol. 4",Toshiaki Iwashiro,3/6/2015,3/6/2015,0,200,15852,Softcover,Barnes and Nobles,Manga,Science Fiction,2012,,,,,,,,,,,,,,
"Psyren, Vol. 5",Toshiaki Iwashiro,3/6/2015,3/6/2015,0,192,16044,Softcover,Barnes and Nobles,Manga,Science Fiction,2012,,,,,,,,,,,,,,
"Psyren, Vol. 6",Toshiaki Iwashiro,3/6/2015,3/6/2015,0,192,16236,Softcover,Barnes and Nobles,Manga,Science Fiction,2012,,,,,,,,,,,,,,
Witch Craft Works Vol. 2,Ryu Mizunagi,3/10/2015,3/10/2015,0,180,16416,Softcover,Midtown Comics,Manga,Fantasy,2014,,,,,,,,,,,,,,
Witch Craft Works Vol. 3,Ryu Mizunagi,3/10/2015,3/10/2015,0,198,16614,Softcover,Midtown Comics,Manga,Fantasy,2015,,,,,,,,,,,,,,
"Psyren, Vol. 7",Toshiaki Iwashiro,3/11/2015,3/11/2015,0,192,16806,Softcover,Barnes and Nobles,Manga,Science Fiction,2012,,,,,,,,,,,,,,
"Psyren, Vol. 8",Toshiaki Iwashiro,3/12/2015,3/12/2015,0,200,17006,Softcover,Barnes and Nobles,Manga,Science Fiction,2013,,,,,,,,,,,,,,
"Psyren, Vol. 9",Toshiaki Iwashiro,3/12/2015,3/12/2015,0,192,17198,Softcover,Barnes and Nobles,Manga,Science Fiction,2013,,,,,,,,,,,,,,
"Psyren, Vol. 10",Toshiaki Iwashiro,3/13/2015,3/13/2015,0,192,17390,Softcover,Barnes and Nobles,Manga,Science Fiction,2013,,,,,,,,,,,,,,
"Psyren, Vol. 11",Toshiaki Iwashiro,3/14/2015,3/14/2015,0,192,17582,Softcover,Barnes and Nobles,Manga,Science Fiction,2013,,,,,,,,,,,,,,
"Psyren, Vol. 12",Toshiaki Iwashiro,3/14/2015,3/14/2015,0,192,17774,Softcover,Barnes and Nobles,Manga,Science Fiction,2013,,,,,,,,,,,,,,
"Psyren, Vol. 13",Toshiaki Iwashiro,3/15/2015,3/15/2015,0,192,17966,Softcover,Barnes and Nobles,Manga,Science Fiction,2014,,,,,,,,,,,,,,
"Psyren, Vol. 14",Toshiaki Iwashiro,3/15/2015,3/15/2015,0,192,18158,Softcover,Barnes and Nobles,Manga,Science Fiction,2014,,,,,,,,,,,,,,
"Psyren, Vol. 15",Toshiaki Iwashiro,3/15/2015,3/15/2015,0,208,18366,Softcover,Barnes and Nobles,Manga,Science Fiction,2014,,,,,,,,,,,,,,
